Employee ID,Email Address,Name,First Name,Last Name,Job Level,Job Title,Is Manager,Office Location,Start Date,Gender,Department,Manager Employee ID,
688,greyson.fitzgerald@intervieworg.com,Greyson O. Fitzgerald,Greyson,Fitzgerald,6,Staff Account Manager,TRUE,Mountain View,9/28/11,,Sales / Germany,3288,
3574,skyler.daugherty@intervieworg.com,Skyler G. Daugherty,Skyler,Daugherty,5,Senior Account Manager,FALSE,Paris,12/29/11,,Sales / Belgium,780,
18,libby.robertson@intervieworg.com,Libby L. Robertson,Libby,Robertson,1,Sales / Mexico Manager-Ⅰ,TRUE,Paris,9/23/17,,Sales / Mexico,2124,
3030,jakob.perez@intervieworg.com,Jakob F. Perez,Jakob,Perez,5,Senior Compliance Officer,FALSE,Paris,9/25/13,male,Building Safety,3905,
2032,jon.elliott@intervieworg.com,Jon O. Elliott,Jon,Elliott,7,Aquatic Sales / Atlantis Manager-ⅤⅠⅠ,TRUE,Cairo,7/14/14,,Aquatic Sales / Atlantis,3552,
3192,branson.delgado@intervieworg.com,Branson T. Delgado,Branson,Delgado,5,Residential Architecture Manager-Ⅴ,TRUE,Paris,3/10/18,male,Residential Architecture,2239,
491,soren.krueger@intervieworg.com,Soren R. Krueger,Soren,Krueger,5,Senior Architect,FALSE,Paris,6/21/16,,Residential Architecture,3920,
3414,jaliyah.lowery@intervieworg.com,Jaliyah D. Lowery,Jaliyah,Lowery,2,Account Manager-ⅠⅠ,FALSE,Paris,3/18/18,female,Sales / Libya,1081,
2118,edwin.gonzalez@intervieworg.com,Edwin H. Gonzalez,Edwin,Gonzalez,3,Compliance Officer-ⅠⅠⅠ,FALSE,Paris,1/20/15,male,Public Policy,3622,
1480,amina.johnston@intervieworg.com,Amina V. Johnston,Amina,Johnston,3,Architect-ⅠⅠⅠ,FALSE,Paris,3/11/16,female,Industrial Architecture,2162,
3590,remy.oconnor@intervieworg.com,Remy L. Oconnor,Remy,Oconnor,3,Account Manager-ⅠⅠⅠ,FALSE,Mountain View,12/15/12,male,Sales / Germany,3372,
1285,duncan.stanley@intervieworg.com,Duncan L. Stanley,Duncan,Stanley,5,Senior Architect,FALSE,Paris,8/2/13,,Residential Architecture,3085,
3140,saylor.green@intervieworg.com,Saylor S. Green,Saylor,Green,1,Compliance Officer-Ⅰ,FALSE,Paris,10/10/17,,Public Policy,2699,
1385,danica.owens@intervieworg.com,Danica E. Owens,Danica,Owens,3,Architect-ⅠⅠⅠ,FALSE,Paris,3/14/17,female,Residential Architecture,931,
2506,heath.rodgers@intervieworg.com,Heath D. Rodgers,Heath,Rodgers,8,Public Policy Director,TRUE,Paris,4/5/06,male,Public Policy,544,
3144,uriah.villa@intervieworg.com,Uriah H. Villa,Uriah,Villa,2,Sales / Mexico Manager-ⅠⅠ,TRUE,Paris,11/27/17,male,Sales / Mexico,1531,
